product_id,offer_id,title,group_key,pause,still_show_in_ads,was_targeted_non_bundle
online:pl:PL:shopify_PL_10606522073421_53653080539469,shopify_PL_10606522073421_53653080539469,BIBS Studio - Smoczek uspokajający – mamapack 1 (0m+),shopify_PL_10606522073421,ads,False,True
online:pl:PL:shopify_PL_10558848336205_53441254457677,shopify_PL_10558848336205_53441254457677,Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,,True,False
online:pl:PL:shopify_PL_10526795039053_53327971582285,shopify_PL_10526795039053_53327971582285,Torba do szpitala dla Mamy – wyprawka Podstawowa – mamapack,Torba do szpitala dla Mamy – wyprawka Podstawowa – mamapack,,True,False
online:pl:PL:16511090014209914440,16511090014209914440,Torba do szpitala dla noworodka - gotowa wyprawka KOMPLETNA,Torba do szpitala dla noworodka - gotowa wyprawka KOMPLETNA,,True,False
online:pl:PL:shopify_PL_10489715360077_53749050212685,shopify_PL_10489715360077_53749050212685,BIBS Supreme (160336) - Smoczek uspokajający – mamapack 1 (0+),shopify_PL_10489715360077,ads,False,True
online:pl:PL:shopify_PL_10517866021197_53291451744589,shopify_PL_10517866021197_53291451744589,Torba do szpitala dla Mamy – wyprawka Rozszerzona – mamapack,Torba do szpitala dla Mamy – wyprawka Rozszerzona – mamapack,,True,False
online:pl:PL:shopify_PL_10517867528525_53291462525261,shopify_PL_10517867528525_53291462525261,Torba do szpitala dla Mamy – gotowa wyprawka Kompletna – mamapack,Torba do szpitala dla Mamy – gotowa wyprawka Kompletna – mamapack,,True,False
online:pl:PL:shopify_PL_10630618480973_53749032124749,shopify_PL_10630618480973_53749032124749,BIBS Studio - Smoczek uspokajający – mamapack,BIBS Studio - Smoczek uspokajający – mamapack,ads,False,True
online:pl:PL:shopify_PL_10489715360077_53749050245453,shopify_PL_10489715360077_53749050245453,BIBS Supreme (160336) - Smoczek uspokajający – mamapack 2 (6+),shopify_PL_10489715360077,ads,False,True
online:pl:PL:10684112702236703032,10684112702236703032,Torba do szpitala dla noworodka - gotowa wyprawka ROZSZERZONA,Torba do szpitala dla noworodka - gotowa wyprawka ROZSZERZONA,,True,False
online:pl:PL:shopify_PL_10523326054733_53311333007693,shopify_PL_10523326054733_53311333007693,Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,,True,False
online:pl:PL:shopify_PL_9984490242381_51163459060045,shopify_PL_9984490242381_51163459060045,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,ads,False,True
online:pl:PL:13606874948860542676,13606874948860542676,BIBS - Smoczek - kauczuk - SZAŁWIA,BIBS - Smoczek - kauczuk - SZAŁWIA,ads,False,True
online:pl:PL:8641583731927345873,8641583731927345873,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka KOMPLETNA,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka KOMPLETNA,,True,False
online:pl:PL:shopify_PL_9984493814093_51163500806477,shopify_PL_9984493814093_51163500806477,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,ads,False,True
online:pl:PL:shopify_PL_10523329921357_53311374360909,shopify_PL_10523329921357_53311374360909,Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,,True,False
online:pl:PL:shopify_PL_10517869068621_53291474682189,shopify_PL_10517869068621_53291474682189,Torba do szpitala dla Mamy – gotowa wyprawka Premium – mamapack,Torba do szpitala dla Mamy – gotowa wyprawka Premium – mamapack,,True,False
online:pl:PL:shopify_PL_10630605209933_53748969636173,shopify_PL_10630605209933_53748969636173,BIBS Studio - Smoczek uspokajający – mamapack,BIBS Studio - Smoczek uspokajający – mamapack,ads,False,True
online:pl:PL:shopify_PL_10606522073421_53653080605005,shopify_PL_10606522073421_53653080605005,BIBS Studio - Smoczek uspokajający – mamapack 3 (18m+),shopify_PL_10606522073421,ads,False,True
online:pl:PL:9931257749113620660,9931257749113620660,Torba do szpitala dla noworodka - gotowa wyprawka PREMIUM,Torba do szpitala dla noworodka - gotowa wyprawka PREMIUM,,True,False
online:pl:PL:shopify_PL_10606522073421_53653080572237,shopify_PL_10606522073421_53653080572237,BIBS Studio - Smoczek uspokajający – mamapack 2 (6m+),shopify_PL_10606522073421,ads,False,True
online:pl:PL:11555450801705149523,11555450801705149523,Torba do szpitala dla noworodka - gotowa wyprawka PODSTAWOWA,Torba do szpitala dla noworodka - gotowa wyprawka PODSTAWOWA,,True,False
online:pl:PL:shopify_PL_10519344120141_53296171483469,shopify_PL_10519344120141_53296171483469,Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,,True,False
online:pl:PL:shopify_PL_9816077205837_50445874233677,shopify_PL_9816077205837_50445874233677,Avent-Zestaw: Butelka dla niemowląt 125 ml + Smoczek – mamapack,Avent-Zestaw: Butelka dla niemowląt 125 ml + Smoczek – mamapack,,True,False
