title,handle,children,products,changed
Dla mamy,dla-mamy,6,100,True
Dla dziecka,dla-dziecka,9,216,True
Wyprawka do szpitala dla mamy,wyprawka-do-szpitala-dla-mamy,12,85,True
Poród i połóg,porod-i-polog,3,25,True
Higiena intymna po porodzie,higiena-intymna-po-porodzie,1,15,True
Karmienie piersią i laktatory,karmienie-piersia-i-laktatory,6,29,True
Koszule i szlafroki do karmienia,koszule-i-szlafroki-do-karmienia,2,13,True
Pielęgnacja i akcesoria dla mamy,pielegnacja-i-akcesoria-dla-mamy,3,16,True
Wyprawka dla noworodka,wyprawka-dla-noworodka,8,208,True
Pielęgnacja i higiena dziecka,pielegnacja-i-higiena-dziecka,12,97,True
Kąpiel dziecka,kapiel-dziecka,5,41,True
Karmienie dziecka,karmienie-dziecka,8,50,True
Sen i pokój dziecka,sen-i-pokoj-dziecka,9,21,True
Spacer i podróż,spacer-i-podroz,5,0,True
Bezpieczeństwo dziecka,bezpieczenstwo-dziecka,5,11,True
Elektronika dziecka,elektronika-dziecka,4,7,True
Zabawa i rozwój,zabawa-i-rozwoj,4,1,True
